code,name,family,employees,avg_salary
0610,Nurse,"Medical, Hospital, Dental, and Public Health Group",97118,130337
0301,Miscellaneous Administration and Program,"General Administrative, Clerical, and Office Services Group",47327,124289
0343,Management and Program Analysis,"General Administrative, Clerical, and Office Services Group",46120,133107
2210,Information Technology Management,Information Technology Group,42390,145038
0679,Medical Support Assistance,"Medical, Hospital, Dental, and Public Health Group",36819,57411
0602,Medical Officer,"Medical, Hospital, Dental, and Public Health Group",33816,296932
0962,Contact Representative,Legal and Kindred Group,30438,63021
0905,General Attorney,Legal and Kindred Group,26147,175397
0303,Miscellaneous Clerk and Assistant,"General Administrative, Clerical, and Office Services Group",25677,53180
0105,Social Insurance Administration,"Social Science, Psychology, and Welfare Group",25436,104859
0185,Social Work,"Social Science, Psychology, and Welfare Group",21120,108850
0201,Human Resources Management,Human Resources Management Group,20803,122790
2152,Air Traffic Control,Transportation Group,19344,152431
0996,Veterans Claims Examining,Legal and Kindred Group,18856,89889
0401,General Natural Resources Management and Biological Sciences,Biological Sciences Group,16928,122177
0601,General Health Science,"Medical, Hospital, Dental, and Public Health Group",16418,131819
0620,Practical Nurse,"Medical, Hospital, Dental, and Public Health Group",14613,74848
0621,Nursing Assistant,"Medical, Hospital, Dental, and Public Health Group",14094,55212
0660,Pharmacist,"Medical, Hospital, Dental, and Public Health Group",13468,165040
1101,General Business and Industry,Business and Industry Group,13222,122095
0501,Financial Administration and Program,Accounting and Budget Group,12667,114100
1102,Contracting,Business and Industry Group,12395,130051
3566,Custodial Working,General Services and Support Work Family,11980,46505
0089,Emergency Management Specialist,Miscellaneous Occupations Group,11657,96376
0592,Tax Examining,Accounting and Budget Group,10866,56378
0801,General Engineering,Engineering and Architecture Group,10581,157158
0640,Health Aid and Technician,"Medical, Hospital, Dental, and Public Health Group",9973,60398
1224,Patent Examining,"Copyright, Patent, and Trademark Group",9257,157418
0462,Forestry Technician,Biological Sciences Group,9218,67474
0101,Social Science,"Social Science, Psychology, and Welfare Group",9128,108544
0180,Psychology,"Social Science, Psychology, and Welfare Group",9112,141226
0340,Program Management,"General Administrative, Clerical, and Office Services Group",8466,178312
0901,General Legal and Kindred Administration,Legal and Kindred Group,7834,80790
2101,Transportation Specialist,Transportation Group,7199,122153
0661,Pharmacy Technician,"Medical, Hospital, Dental, and Public Health Group",6308,69687
0510,Accounting,Accounting and Budget Group,6248,143545
0341,Administrative Officer,"General Administrative, Clerical, and Office Services Group",6149,109653
4749,Maintenance Mechanic,General Maintenance and Operations Work Family,6146,74140
0560,Budget Analysis,Accounting and Budget Group,6142,130363
1301,General Physical Science,Physical Sciences Group,5991,143187
0080,Security Administration,Miscellaneous Occupations Group,5959,123295
0647,Diagnostic Radiologic Technologist,"Medical, Hospital, Dental, and Public Health Group",5294,100503
7408,Food Service Working,Food Preparation and Serving Family,5285,48262
0671,Health System Specialist,"Medical, Hospital, Dental, and Public Health Group",5275,109156
0644,Medical Technologist,"Medical, Hospital, Dental, and Public Health Group",5253,116119
1862,Consumer Safety Inspection,Investigation Group,5252,73086
0570,Financial Institution Examining,Accounting and Budget Group,4950,166549
0861,Aerospace Engineering,Engineering and Architecture Group,4930,154582
0404,Biological Science Technician,Biological Sciences Group,4214,57955
0457,Soil Conservation,Biological Sciences Group,4199,87864
1825,Aviation Safety,Investigation Group,4164,142693
1165,Loan Specialist,Business and Industry Group,4160,93978
0511,Auditing,Accounting and Budget Group,4002,142352
0649,Medical Instrument Technician,"Medical, Hospital, Dental, and Public Health Group",3819,79997
0675,Medical Records Technician,"Medical, Hospital, Dental, and Public Health Group",3792,64317
0810,Civil Engineering,Engineering and Architecture Group,3747,122797
0110,Economist,"Social Science, Psychology, and Welfare Group",3730,154464
0503,Financial Clerical and Assistance,Accounting and Budget Group,3693,58033
0028,Environmental Protection Specialist,Miscellaneous Occupations Group,3409,126483
0603,Physician Assistant,"Medical, Hospital, Dental, and Public Health Group",3373,166870
